Product code,Language,Vendor,Product URL,Product name,Image URL,Price,Category,Description
"EIC4512","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/lionel-messi/","Lionel Messi","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4512.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5001","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/coastal-mist/","Coastal Mist","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5001.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5002","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/nothing-worth-having-comes-easy/","Nothing Worth Having Comes Easy","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5002.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5004","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/v3/","V3","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5004.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5005","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/never-stop-dreaming/","Never Stop Dreaming","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5005.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5007","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/enjoy-the-little-things/","Enjoy The Little Things","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5007.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5010","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/beach-holiday-esentials/","Beach Holiday Esentials","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5010.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5011","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/enjoy-today/","Enjoy Today","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5011.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5012","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/there-are-so-many-reasons-to-be-happy/","There Are So Many Reasons To Be Happy","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5012.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5013","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/paradise-mountain/","Paradise Mountain","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5013.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5013A","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/milky-way-mount/","Milky Way Mount","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5013A.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5015","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/leave-your-fears-behind/","Leave Your Fears Behind","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5015.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5016","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/meant-to-shine/","Meant To Shine","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5016.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5017","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/nebula-believe/","Nebula Believe","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5017.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5018","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/h2o/","H2O","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5018.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5019","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/breathe./","Breathe.","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5019.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5020","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/life-goes-on/","Life Goes On","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5020.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
